registro,tipologia,title,stato,pubDate,al,link,allegato
N.351/2016-S,Provvedimento,ORDINANZA SINDACALE N. 21 DEL 06-12-2016,Pubblicato,"Wed, 21 Dec 2016 00:00:00 +0000 +002",2017-12-05,http://www.comune.acquacanina.mc.it/provvedimenti-cms/ordinanza-sindacale-n-21-del-06-12-2016/,http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/ORDINANZA-N.-21-DEL-06-DIC-2016.pdf
N.320/2016-S,Provvedimento,"ORDINANZA N. 1/TERREMOTO/DELIMITAZIONE AREA ""ZONA ROSSA"" DEL TERRITORIO DEL COMUNE DI ACQUCANINA",Pubblicato,"Mon, 31 Oct 2016 00:00:00 +0000 +002",2017-12-31,http://www.comune.acquacanina.mc.it/provvedimenti-cms/ordinanza-n-1terremotodelimitazione-area-zona-rossa-del-territorio-del-comune-di-acqucanina/,http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/COMUNE-DI-ACQUACANINA-ORDINANZA-N.-1-TERREMOTO.pdf
N.295/2015-S,Avviso e segnalazione,COMUNE DI ACQUACANINA ORARIO DEGLI UFFICIO DAL 01/10/2015,Pubblicato,"Wed, 07 Oct 2015 00:00:00 +0000 +002",2024-12-31,http://www.comune.acquacanina.mc.it/avvisi-cms/comune-di-acquacanina-orario-degli-ufficio-dal-01102015/,http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/orario-apertura-uffici-comune-di-Acquacanina1.pdf
N.90/2014-S,Documento,ATTESTAZIONE OIV,Pubblicato,"Fri, 31 Jan 2014 00:00:00 +0000 +002",2018-01-31,http://www.comune.acquacanina.mc.it/documenti-cms/attestazione-oiv/,http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/trasparenza/attestazione-oiv.pdf
N.87/2014-S,Documento,Programma di Fabbricazione,Pubblicato,"Thu, 30 Jan 2014 00:00:00 +0000 +002",2020-12-31,http://www.comune.acquacanina.mc.it/documenti-cms/programma-di-fabbricazione/,http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/programmazione/allegato-tecnico-normativo-al-regolamento-edilizio.pdf |http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/programmazione/planimetria-programma-di-fabbricazione.pdf
N.64/2014-S,Atto generale,Piano triennale trasparenza,Pubblicato,"Wed, 29 Jan 2014 00:00:00 +0000 +002",2018-01-31,http://www.comune.acquacanina.mc.it/atti-generali-cms/piano-triennale-trasparenza/,http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/regolamento/piano-triennale-della-trasparenza.pdf
N.63/2014-S,Atto generale,Codice di comportamentoi,Pubblicato,"Wed, 29 Jan 2014 00:00:00 +0000 +002",2018-01-31,http://www.comune.acquacanina.mc.it/atti-generali-cms/codice-di-comportamentoi/,http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/regolamento/approvazione-codice-di-comportamento-comunale.pdf
N.62/2014-S,Atto generale,Regolamento uffici-incarichi e consulenze,Pubblicato,"Wed, 29 Jan 2014 00:00:00 +0000 +002",2018-01-31,http://www.comune.acquacanina.mc.it/atti-generali-cms/regolamento-uffici-incarichi-e-consulenze/,http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/regolamento/regolamento-degli-uffici-disciplina-incarichi-di-consulenza.pdf
N.61/2014-S,Atto generale,Regolamento servizio acquedotto,Pubblicato,"Wed, 29 Jan 2014 00:00:00 +0000 +002",2018-01-31,http://www.comune.acquacanina.mc.it/atti-generali-cms/regolamento-servizio-acquedotto/,http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/regolamento/regolamento-acquedotto.pdf
N.60/2014-S,Atto generale,Regolamento controlli interni,Pubblicato,"Wed, 29 Jan 2014 00:00:00 +0000 +002",2018-01-31,http://www.comune.acquacanina.mc.it/atti-generali-cms/regolamento-controlli-interni/,http://www.comune.acquacanina.mc.it/wp-content/blogs.dir/22/files/regolamento/regolamento-controlli-interni.pdf
