id,feed_name,channel-category-type,channel-category-municipality,channel-category-province,channel-category-region,channel-category-latitude,channel-category-longitude,channel-category-country,channel-category-name,channel-category-uid,docs,webmaster,provider,options
c066056,Montereale_feed.xml,Comune,Montereale,L'Aquila,Abruzzo,42.5250955,13.2440724,Italia,Montereale,istat:66056,http://albopop/comune/montereale,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c066056
c067046,Valle Castellana_feed.xml,Comune,Valle Castellana,Teramo,Abruzzo,42.7361764,13.4970995,Italia,Valle Castellana,istat:067046,http://albopop/comune/vallecastellana,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c067046
c057001,Accumoli_feed.xml,Comune,Accumoli,Rieti,Lazio,42.694141,13.247683,Italia,Accumoli,istat:057001,http://albopop/comune/accumoli,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c057001
c044001,Acquasanta Terme_feed.xml,Comune,Acquasanta Terme,Ascoli Piceno,Marche,42.769944,13.410185,Italia,Acquasanta Terme,istat:44001,http://albopop/comune/acquasantaterme,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044001
c057002,Amatrice_feed.xml,Comune,Amatrice,Rieti,Lazio,42.6292367,13.2891755,Italia,Amatrice,istat:057002,http://albopop/comune/amatrice,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c057002
c044006,Arquata del Tronto_feed.xml,Comune,Arquata del Tronto,Ascoli Piceno,Marche,42.772643,13.296283,Italia,Arquata del Tronto,istat:044006,http://albopop/comune/arquatadeltronto,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044006
c066021,Capitignano_feed.xml,Comune,Capitignano,L'Aquila,Abruzzo,42.519996,13.300644,Italia,Capitignano,istat:066021,http://albopop/comune/capitignano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c066021
c054007,Cascia_feed.xml,Comune,Cascia,Perugia,Umbria,42.718213,13.013555,Italia,Cascia,istat:054007,http://albopop/comune/cascia,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c054007
c057017,Cittareale_feed.xml,Comune,Cittareale,Rieti,Lazio,42.616239,13.157882,Italia,Cittareale,istat:57017,http://albopop/comune/cittareale,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c057017
c044037,Montefortino_feed.xml,Comune,Montefortino,Fermo,Marche,43.5251735,12.9402024,Italia,Montefortino,istat:109015,http://albopop/comune/montefortino,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044037
c044038,Montegallo_feed.xml,Comune,Montegallo,Ascoli Piceno,Marche,43.5243788,13.4786388,Italia,Montegallo,istat:44038,http://albopop/comune/montegallo,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044038
